name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Chordoma,Additional catalogued rare cancers,Brachyury,,"Arises from notochordal remnants along the axial skeleton; a benign notochordal cell tumor is a precursor, and germline duplication of the T (brachyury/TBXT) gene predisposes in familial chordoma. Most cases are otherwise sporadic.",yes,
Clear cell sarcoma,Additional catalogued rare cancers,EWSR1-ATF1,,"Cause not established; this melanocytic soft tissue sarcoma is defined by an EWSR1::ATF1 fusion but has no known inherited or environmental cause, and is sporadic.",no,
Collecting duct carcinoma of the kidney,Additional catalogued rare cancers,,,"Cause not established; this aggressive renal cancer arises from the distal collecting duct with no confirmed inherited or environmental etiology, and is generally sporadic.",no,
Craniopharyngioma,Additional catalogued rare cancers,CTNNB1,,"Cause not established; adamantinomatous type arises from embryonic Rathke pouch epithelial remnants with CTNNB1 mutations, and papillary type carries BRAF V600E mutations, but neither has a known inherited or environmental cause. Sporadic.",no,
Cutaneous squamous cell carcinoma,Additional catalogued rare cancers,,,"Chronic cumulative ultraviolet (sun) exposure is the dominant cause; other factors include immunosuppression (organ transplant, HIV), human papillomavirus, chronic wounds and scars (Marjolin ulcer), arsenic and radiation exposure, and genodermatoses such as xeroderma pigmentosum and epidermolysis bullosa.",yes,
Desmoid tumor,Additional catalogued rare cancers,CTNNB1,Aggressive fibromatosis,"Predisposed by germline APC mutations in familial adenomatous polyposis (Gardner syndrome); sporadic desmoids are driven by CTNNB1 (beta-catenin) mutations and are associated with prior trauma or surgery, pregnancy, and estrogen exposure.",yes,
Diffuse intrinsic pontine glioma,Additional catalogued rare cancers,H3F3A,DIPG; Diffuse midline glioma,Cause not established; this pediatric brainstem glioma is defined by histone H3 K27 mutations and has no known inherited or environmental cause. Sporadic.,no,
Endometrial stromal sarcoma,Additional catalogued rare cancers,JAZF1,,"Cause not established; defined by recurrent gene fusions (for example JAZF1::SUZ12) but has no confirmed inherited or environmental cause, and tamoxifen use and unopposed estrogen have been weakly implicated. Generally sporadic.",no,
Ependymoma,Additional catalogued rare cancers,RELA,,"Mostly sporadic; the main recognized hereditary predisposition is neurofibromatosis type 2 (germline NF2), which is associated with spinal ependymomas. No established environmental cause.",yes,
Extragonadal germ cell tumor,Additional catalogued rare cancers,,,Predisposing conditions include Klinefelter syndrome (associated with mediastinal germ cell tumors) and gonadal dysgenesis; these arise from misplaced primordial germ cells along the midline and are otherwise largely of unestablished cause.,yes,
Extranodal NK/T cell lymphoma,Additional catalogued rare cancers,Epstein-Barr virus,,"Causally associated with Epstein-Barr virus infection, which is present in essentially all cases; it is most common in East Asian and Latin American populations.",yes,
Fibrosarcoma,Additional catalogued rare cancers,,,"Cause largely not established; adult fibrosarcoma is usually sporadic, and infantile fibrosarcoma is defined by an ETV6::NTRK3 fusion. Prior radiation is a recognized cause of some secondary fibrosarcomas.",no,
Gallbladder cancer,Additional catalogued rare cancers,TP53,,"Strongly linked to chronic inflammation from gallstones (cholelithiasis), porcelain (calcified) gallbladder, chronic Salmonella typhi (typhoid) carriage, and gallbladder polyps; anomalous pancreaticobiliary duct junction and obesity are additional risk factors.",yes,
Gastrointestinal neuroendocrine tumor,Additional catalogued rare cancers,,Carcinoid tumor,"Most are sporadic with no established cause, but recognized predisposing conditions include multiple endocrine neoplasia type 1 (MEN1), and for gastric types, chronic atrophic gastritis with hypergastrinemia (autoimmune or Zollinger-Ellison syndrome).",yes,
Gestational trophoblastic disease,Additional catalogued rare cancers,,Choriocarcinoma; Hydatidiform mole,"Arises from abnormal fertilization producing hydatidiform mole (complete moles from androgenetic diploidy, partial moles from triploid dispermic fertilization); a prior molar pregnancy and extremes of maternal age are risk factors, and rare familial recurrent hydatidiform mole is caused by NLRP7 or KHDC3L mutations.",yes,
Glioblastoma,Additional catalogued rare cancers,EGFR,GBM,"Cause not established for the vast majority; the only firmly established environmental risk factor is prior ionizing radiation to the head, and rare cases occur in hereditary syndromes (Li-Fraumeni, Lynch/constitutional mismatch repair deficiency, neurofibromatosis). Otherwise sporadic.",yes,
Granulosa cell tumor of the ovary,Additional catalogued rare cancers,FOXL2,,"Cause not established; adult type is characterized by a somatic FOXL2 mutation but has no known inherited or environmental cause, and juvenile type can occur in enchondromatosis syndromes (Ollier disease, Maffucci syndrome). Generally sporadic.",no,
Hurthle cell thyroid carcinoma,Additional catalogued rare cancers,,Oncocytic thyroid carcinoma; Hurthle cell carcinoma; oxyphilic follicular carcinoma,"Ionizing radiation exposure to the head and neck, especially in childhood, is an established risk factor; chronic autoimmune thyroiditis (Hashimoto) and iodine deficiency are associated, and rare familial nonmedullary thyroid cancer clustering occurs, but most cases are sporadic.",yes,
Inflammatory breast cancer,Additional catalogued rare cancers,,IBC,"Cause not established; it is an aggressive clinical presentation of breast carcinoma without a specific etiologic factor, though obesity and general breast cancer risk factors apply and it is usually sporadic.",no,
Large cell neuroendocrine carcinoma,Additional catalogued rare cancers,,LCNEC,"When pulmonary, it is strongly caused by tobacco smoking, similar to small cell lung cancer; large cell neuroendocrine carcinomas at other sites are largely of unestablished cause.",yes,
Liposarcoma,Additional catalogued rare cancers,MDM2,,Cause not established; liposarcomas are generally sporadic soft tissue tumors defined by characteristic genetic changes (for example MDM2 amplification) without a confirmed inherited or environmental etiology.,no,
Low grade serous ovarian carcinoma,Additional catalogued rare cancers,KRAS,,"Cause not established; arises from serous borderline (atypical proliferative) tumor as a precursor lesion but has no confirmed inherited or environmental etiologic cause, and is generally sporadic.",no,
Male breast cancer,Additional catalogued rare cancers,BRCA2,,"Predisposed by germline BRCA2 (and BRCA1) mutations, Klinefelter syndrome, conditions of estrogen excess or androgen deficiency (obesity, cirrhosis, testicular disorders), prior chest radiation, and family history.",yes,
Malignant mesothelioma,Additional catalogued rare cancers,BAP1,Pleural mesothelioma; malignant pleural mesothelioma; diffuse pleural mesothelioma; epithelioid mesothelioma; sarcomatoid mesothelioma; biphasic mesothelioma,"Asbestos exposure is the established cause in the great majority of cases, with a long latency of decades; erionite fiber exposure and prior chest radiation are additional causes, and germline BAP1 mutation predisposes.",yes,
Medulloblastoma,Additional catalogued rare cancers,MYC,,"Mostly sporadic, but predisposed by hereditary syndromes: Gorlin (nevoid basal cell carcinoma) syndrome and other SHH-pathway germline defects for SHH-activated tumors, and germline APC (Turcot syndrome) for WNT-activated tumors, as well as Li-Fraumeni syndrome.",yes,
Meningioma,Additional catalogued rare cancers,NF2,,"Prior ionizing radiation to the head is an established cause; neurofibromatosis type 2 (germline NF2) predisposes to multiple meningiomas, and hormonal factors are associated. Many cases are otherwise sporadic.",yes,
Multicentric Castleman disease,Additional catalogued rare cancers,HHV-8,,"A large fraction is caused by uncontrolled human herpesvirus-8 (HHV-8) infection, typically in the setting of HIV or immunosuppression; the remaining HHV-8-negative idiopathic form has an unknown cause driven by IL-6-mediated cytokine storm.",yes,
Nonseminomatous germ cell tumor,Additional catalogued rare cancers,,,"Shares testicular germ cell tumor risk factors, notably cryptorchidism, family or personal history, and testicular dysgenesis; develops from germ cell neoplasia in situ.",yes,
Oligodendroglioma,Additional catalogued rare cancers,IDH1,,Cause not established; defined by IDH mutation and 1p/19q codeletion but with no confirmed inherited or environmental cause. Prior brain irradiation is a general risk factor for gliomas; otherwise sporadic.,no,
Osteosarcoma,Additional catalogued rare cancers,TP53,Osteogenic sarcoma,"Predisposed by hereditary cancer syndromes (hereditary retinoblastoma with germline RB1, Li-Fraumeni syndrome with germline TP53, Rothmund-Thomson, Werner, Bloom syndromes), prior therapeutic radiation, and Paget disease of bone in older adults.",yes,
Ovarian germ cell tumor,Additional catalogued rare cancers,,,"Cause largely not established; these tumors arise from primordial germ cells and are usually sporadic, with gonadal dysgenesis (dysgenetic gonads, especially with Y chromosome material) being a recognized predisposing condition for some subtypes.",no,
Papillary renal cell carcinoma,Additional catalogued rare cancers,MET,,"Hereditary forms have defined causes: hereditary papillary RCC from germline MET mutations (type 1) and hereditary leiomyomatosis and RCC from germline fumarate hydratase mutations (type 2); acquired cystic kidney disease and end-stage renal disease are acquired risk factors, but most cases are sporadic.",yes,
PEComa,Additional catalogued rare cancers,TFE3,Perivascular epithelioid cell tumor,A subset arises in the tuberous sclerosis complex (germline TSC1/TSC2 mutations); most sporadic PEComas have no established inherited or environmental cause.,yes,
Penile cancer,Additional catalogued rare cancers,HPV,,"Caused by high-risk HPV infection in a large fraction of cases; other risk factors include phimosis with chronic inflammation, lack of neonatal circumcision, lichen sclerosus, smoking, and poor hygiene. Precursor is penile intraepithelial neoplasia.",yes,
Primary central nervous system lymphoma,Additional catalogued rare cancers,MYD88,PCNSL,"Severe immunosuppression is the main established cause, especially HIV/AIDS (with Epstein-Barr virus driving the tumor) and iatrogenic immunosuppression after transplantation; immunocompetent cases are otherwise of unestablished cause.",yes,
Pulmonary carcinoid tumor,Additional catalogued rare cancers,,Bronchial carcinoid,"Cause largely not established; most pulmonary carcinoids are not linked to smoking, and a minority occur in the setting of multiple endocrine neoplasia type 1 (germline MEN1 mutation) or arise from diffuse idiopathic pulmonary neuroendocrine cell hyperplasia as a precursor.",yes,
Rhabdomyosarcoma,Additional catalogued rare cancers,PAX3-FOXO1,,"Mostly sporadic, but predisposed by hereditary syndromes including Li-Fraumeni syndrome (germline TP53), neurofibromatosis type 1, DICER1 syndrome, Costello syndrome, and Beckwith-Wiedemann syndrome.",yes,
Sacrococcygeal teratoma,Additional catalogued rare cancers,,,"Cause not established; this congenital germ cell tumor arises from pluripotent cells near the coccyx (Hensen node remnants) and is generally sporadic, with rare familial presacral teratoma linked to Currarino syndrome (MNX1 mutation).",no,
Salivary gland carcinoma,Additional catalogued rare cancers,,,"Prior ionizing radiation to the head and neck is the best-established risk factor; some subtypes are associated with defined genetic fusions rather than external causes, and most cases are otherwise sporadic.",yes,
Sarcomatoid carcinoma,Additional catalogued rare cancers,,,"Cause not established as a distinct entity; it represents dedifferentiation of an underlying epithelial carcinoma (for example of lung, kidney, or urothelium), so its risk factors are those of the parent carcinoma rather than a specific separate cause.",no,
Seminoma,Additional catalogued rare cancers,KIT,,"Same predisposing factors as other testicular germ cell tumors, chiefly cryptorchidism, prior testicular tumor, family history, and testicular dysgenesis; arises from germ cell neoplasia in situ.",yes,
Small bowel adenocarcinoma,Additional catalogued rare cancers,,Small intestine cancer,"Predisposed by inherited syndromes (Lynch syndrome, familial adenomatous polyposis, Peutz-Jeghers syndrome) and by chronic small bowel inflammation, notably Crohn disease and celiac disease.",yes,
Small cell lung cancer,Additional catalogued rare cancers,RB1,SCLC,Overwhelmingly caused by tobacco smoking; radon exposure and occupational carcinogens are additional causes. It very rarely occurs in never-smokers.,yes,
Solitary fibrous tumor,Additional catalogued rare cancers,NAB2-STAT6,,Cause not established; defined by a NAB2::STAT6 fusion but without a confirmed inherited or environmental etiologic factor. Generally sporadic.,no,
Spindle cell sarcoma,Additional catalogued rare cancers,,,"Cause not established; spindle cell sarcoma is a morphologic category encompassing several entities with no single confirmed etiology, and most are sporadic (some secondary to prior radiation).",no,
Systemic mastocytosis,Additional catalogued rare cancers,KIT,,"Cause not established; the great majority carry an acquired somatic KIT D816V mutation but there is no confirmed inherited or environmental cause, and rare familial cases with germline KIT variants exist. Largely sporadic.",no,
T cell prolymphocytic leukemia,Additional catalogued rare cancers,TCL1A,T-PLL,"Cause largely not established; strongly associated with inversion/translocation of the TCL1 locus, and markedly increased in ataxia-telangiectasia (germline ATM mutation), but sporadic cases have no known external cause.",yes,
Testicular germ cell tumor,Additional catalogued rare cancers,KIT,Testicular cancer,"Predisposed by cryptorchidism (undescended testis), personal or family history of testicular cancer, testicular dysgenesis, infertility, and Klinefelter syndrome; germ cell neoplasia in situ is the precursor lesion.",yes,
Translocation renal cell carcinoma,Additional catalogued rare cancers,TFE3,MiT family translocation RCC,"Prior exposure to cytotoxic chemotherapy in childhood is the only established risk factor; the tumors are driven by MiT family (TFE3/TFEB) gene fusions, but most arise sporadically without a known external cause.",yes,
Urachal carcinoma,Additional catalogued rare cancers,,,"Arises from persistent embryonic urachal remnants at the bladder dome; no definitive environmental or hereditary risk factors are established, and it is otherwise considered sporadic.",yes,
Urethral cancer,Additional catalogued rare cancers,,,"Associated with high-risk HPV infection (especially distal urethral squamous cancers), chronic urethral inflammation, urethral strictures, and recurrent urinary tract infections; a history of bladder cancer also raises risk.",yes,
Vaginal cancer,Additional catalogued rare cancers,HPV,,Most squamous vaginal cancers are caused by persistent high-risk human papillomavirus infection; clear cell adenocarcinoma of the vagina is linked to in utero diethylstilbestrol (DES) exposure. Precursor is vaginal intraepithelial neoplasia.,yes,
Vulvar cancer,Additional catalogued rare cancers,HPV,Vulvar squamous cell carcinoma; squamous cell carcinoma of the vulva,Two pathways: high-risk HPV infection (with usual-type vulvar intraepithelial neoplasia) and HPV-independent disease arising in chronic inflammatory dermatoses such as lichen sclerosus with differentiated vulvar intraepithelial neoplasia; smoking and immunosuppression add risk.,yes,
Waldenstrom macroglobulinemia,Additional catalogued rare cancers,MYD88,Lymphoplasmacytic lymphoma; LPL; Waldenstrom macroglobulinaemia,"Cause not established; nearly all cases carry a somatic MYD88 L265P mutation and it is preceded by IgM monoclonal gammopathy of undetermined significance, with familial clustering suggesting inherited predisposition, but no confirmed environmental cause. Largely sporadic.",no,
Yolk sac tumor,Additional catalogued rare cancers,AFP,Endodermal sinus tumor,"Cause largely not established; this germ cell tumor arises from primordial germ cells and is usually sporadic, with gonadal dysgenesis being a predisposing condition for gonadal cases.",no,
